| time |period|reset|ticks|loop|
| 1    |    1 |  1  |   0 |  1 |
| 2    |    1 |  0  |   0 |  1 |
| 3    |    1 |  0  |   0 |  1 |
| 4    |    1 |  0  |   0 |  1 |
| 5    |    1 |  0  |   0 |  1 |
| 6    |    2 |  1  |   0 |  1 |
| 18   |    2 |  0  |   0 |  1 |
| 19   |    2 |  0  |   1 |  0 |
| 20   |    2 |  0  |   0 |  1 |
| 21   |    2 |  0  |   1 |  0 |
| 22   |    2 |  0  |   0 |  1 |
| 23   |    2 |  0  |   1 |  0 |
| 24   |    2 |  0  |   0 |  1 |
| 25   |    2 |  0  |   1 |  0 |
| 26   |    3 |  1  |   0 |  1 |
| 27   |    3 |  0  |   1 |  0 |
